schedule_season,team,regular_season_mean_score,playoff_mean_score,regular_season_z_score,playoff_z_score
1979,Buffalo Bills,16.75,,-0.9516438692750313,
1979,Chicago Bears,19.12,17.0,-0.2712097871169553,0.057621096112127373
1979,Cincinnati Bengals,21.06,,0.28577001009260816,
1979,Cleveland Browns,22.44,,0.6819721338808555,
1979,Dallas Cowboys,23.19,19.0,0.89729937507012,0.37163251906650224
1979,Denver Broncos,18.06,7.0,-0.5755389546644497,-1.512436018659747
1979,Detroit Lions,13.69,,-1.8301790133272307,
1979,Green Bay Packers,15.38,,-1.3449749631807542,
1979,Indianapolis Colts,16.94,,-0.897094301507084,
1979,Kansas City Chiefs,14.88,,-1.4885264573069306,
1979,Las Vegas Raiders,22.81,,0.7882002395342252,
1979,Los Angeles Chargers,25.69,14.0,1.6150568457010017,-0.41339603831943494
1979,Los Angeles Rams,20.19,16.33,0.035990410313062104,-0.04757273057758848
1979,Miami Dolphins,21.31,14.0,0.3575457571556963,-0.41339603831943494
1979,Minnesota Vikings,16.19,,-1.1124215426963484,
1979,New England Patriots,25.69,,1.6150568457010017,
1979,New Orleans Saints,23.12,,0.8772021658924553,
1979,New York Giants,14.81,,-1.5086236664845953,
1979,New York Jets,21.06,,0.28577001009260816,
1979,Philadelphia Eagles,21.19,22.0,0.32309339856541475,0.8426496534980645
1979,Pittsburgh Steelers,26.0,30.67,1.7040587720592306,2.20388917200528
1979,San Francisco 49ers,19.25,,-0.23388639864414976,
1979,Seattle Seahawks,23.62,,1.0207536600186315,
1979,Tampa Bay Buccaneers,17.06,12.0,-0.8626419429168024,-0.7274074612738098
1979,Tennessee Titans,22.62,14.33,0.733650671766279,-0.3615841535319631
1979,Washington Commanders,21.75,,0.48387107198673185,
1980,Arizona Cardinals,18.69,,-0.47402957134881735,
1980,Atlanta Falcons,25.31,27.0,1.2721175142079562,1.309117697949274
1980,Buffalo Bills,20.0,14.0,-0.12849291242444094,-0.6248061740212443
1980,Chicago Bears,19.0,,-0.3922613543514461,
1980,Cincinnati Bengals,15.25,,-1.3813930115777155,
1980,Cleveland Browns,22.31,12.0,0.4808121884269406,-0.9223329235551702
1980,Dallas Cowboys,28.38,23.67,2.081886630923862,0.8137356599752876
1980,Denver Broncos,19.38,,-0.29202934641918443,
1980,Detroit Lions,20.88,,0.10362331647132332,
1980,Green Bay Packers,14.44,,-1.5950454495385897,
1980,Indianapolis Colts,22.19,,0.4491599753957007,
1980,Kansas City Chiefs,19.94,,-0.14431901894006094,
1980,Las Vegas Raiders,22.75,25.5,0.5968703028748232,1.0859726357988295
1980,Los Angeles Chargers,26.12,23.5,1.4857699521688308,0.7884458862649038
1980,Los Angeles Rams,26.5,13.0,1.5860019601010926,-0.7735695487882072
1980,Miami Dolphins,16.62,,-1.0200302461377182,
1980,Minnesota Vikings,19.81,16.0,-0.17860891639057228,-0.3272794244873184
1980,New England Patriots,27.56,,1.8655965085437176,
1980,New Orleans Saints,18.19,,-0.6059137923123199,
1980,New York Giants,15.56,,-1.2996247945803436,
1980,New York Jets,18.88,,-0.423913567382687,
1980,Philadelphia Eagles,24.0,20.33,0.9265808552835797,0.31686598825363094
1980,Pittsburgh Steelers,22.0,,0.3990439714295694,
1980,San Francisco 49ers,20.0,,-0.12849291242444094,
1980,Seattle Seahawks,18.19,,-0.6059137923123199,
1980,Tampa Bay Buccaneers,16.94,,-0.9356243447210764,
1980,Tennessee Titans,18.44,7.0,-0.5399716818305687,-1.6661497973899848
1980,Washington Commanders,16.31,,-1.1017984631350903,
1981,Arizona Cardinals,19.69,,-0.27718840824209123,
1981,Atlanta Falcons,26.62,,1.675103378882969,
1981,Buffalo Bills,19.44,26.0,-0.3476174048916244,0.09973672117578994
1981,Chicago Bears,15.81,,-1.3702464362428468,
1981,Cincinnati Bengals,26.31,25.33,1.5877714230375473,0.03291311798801051
1981,Cleveland Browns,17.25,,-0.9645754155415356,
1981,Dallas Cowboys,22.94,32.5,0.6383885482018404,0.7480254088184245
1981,Denver Broncos,20.06,,-0.1729534932007828,
1981,Detroit Lions,24.81,,1.165197443140348,
1981,Green Bay Packers,20.25,,-0.1194274557471372,
1981,Indianapolis Colts,16.19,,-1.263194361335556,
1981,Kansas City Chiefs,21.44,,0.21581456830464119,
1981,Las Vegas Raiders,17.06,,-1.0181014529951813,
